player_name,full_name
LR Shukla,Laxmi Ratan Shukla
LRPL Taylor,Ross Taylor
M Kaif,Mohammad Kaif
M Kartik,Murali Kartik
M Manhas,Mithun Manhas
M Morkel,Morne Morkel
M Muralitharan,Muttiah Muralitharan
M Ntini,Makhaya Ntini
M Rawat,Mayank Rawat
M Vijay,Murli Vijay
MA Khote,Musavir Khote
MB Parmar,Mohnish Parmar
MC Henriques,Moises Henriques
MD Mishra,Mohnish Mishra
MEK Hussey,Michael Hussey
MF Maharoof,Farveez Maharoof
MJ Lumb,Michael Lumb
MK Pandey,Manish Pandey
MK Tiwary,Manoj Tiwary
ML Hayden,Matthew Hayden
MM Patel,Munaf Patel
MN van Wyk,Morne van Wyk
MR Marsh,Mitchell Marsh
MS Bisla,Manvinder Bisla
MS Dhoni,Mahendra Singh Dhoni
MS Gony,Manpreet Gony
MV Boucher,Mark Boucher
Mandeep Singh,Mandeep Singh
Mashrafe Mortaza,Mashrafe Mortaza
Misbah-ul-Haq,Misbah-ul-Haq
Mohammad Ashraful,Mohammad Ashraful
Mohammad Asif,Mohammad Asif
Mohammad Hafeez,Mohammad Hafeez
ND Doshi,Nayan Doshi
NK Patel,Nisarg Patel
NLTC Perera,Thisara Perera
NV Ojha,Naman Ojha
OA Shah,Owais Shah
P Amarnath,Palani Amarnath
P Dogra,Paras Dogra
P Kumar,Praveen Kumar
PA Patel,Parthiv Patel
PC Valthaty,Paul Valthaty
PD Collingwood,Paul Collingwood
PJ Sangwan,Pradeep Sangwan
PM Sarvesh Kumar,Sarvesh Kumar
PP Chawla,Piyush Chawla
PP Ojha,Pragyan Ojha
PR Shah,Pinal Shah
Pankaj Singh,Pankaj Singh
R Ashwin,Ravichandran Ashwin
R Bhatia,Rajat Bhatia
R Bishnoi,Ravi Bishnoi
R Dravid,Rahul Dravid
R McLaren,Ryan McLaren
R Sathish,Rajagopal Sathish
R Sharma,Rahul Sharma
R Vinay Kumar,R Vinay Kumar
RA Jadeja,Ravindra Jadeja
RA Shaikh,Rahil Shaikh
RE van der Merwe,Roelof van der Merwe
RG Sharma,Rohit Sharma
RJ Harris,Ryan Harris
RJ Quiney,Rob Quiney
RP Singh,RP Singh
RR Bose,Ranadeb Bose
RR Powar,Ramesh Powar
RR Raje,Rohan Raje
RR Sarwan,Ramnaresh Sarwan
RS Bopara,Ravi Bopara
RS Gavaskar,Rohan Gavaskar
RS Sodhi,Reetinder Singh Sodhi
RT Ponting,Rickey Ponting
RV Uthappa,Robin Uthappa
S Anirudha,Anirudha Srikkanth
S Badrinath,Subramaniam Badrinath
S Chanderpaul,Shivnarine Chanderpaul
S Dhawan,Shikhar Dhawan
S Ladda,Sarabjit Ladda
S Narwal,Sumit Narwal
S Sohal,Sunny Sohal
S Sreesanth,S Sreesanth
S Sriram,Sridharan Sriram
S Tyagi,Sudeep Tyagi
S Vidyut,S Vidyut
SA Asnodkar,Swapnil Asnodkar
SB Bangar,Sanjay Bangar
SB Jakati,Shadab Jakati
SB Joshi,Sunil Joshi
SB Styris,Scott Styris
SB Wagh,Shrikant Wagh
SC Ganguly,Sourav Ganguly
SD Chitnis,Siddharth Chitnis
SE Bond,Shane Bond
SE Marsh,Shaun Marsh
SJ Srivastava,Shalabh Srivastava
SK Raina,Suresh Raina
SK Trivedi,Siddharth Trivedi
SK Warne,Shane Warne
SL Malinga,Lasith Malinga
SM Harwood,Shane Harwood
SM Katich,Simon Katich
SM Pollock,Shaun Pollock
SP Fleming,Stephen Fleming
SP Goswami,Shreevats Goswami
SR Tendulkar,Sachin Ramesh Tendulkar
SR Watson,Shane Watson
SS Sarkar,Sourav Sarkar
SS Shaikh,Shoaib Shaikh
SS Tiwary,Saurabh Tiwary
ST Jayasuriya,Sanath Jayasuriya
STR Binny,Stuart Binny
SW Tait,Shaun Tait
Salman Butt,Salman Butt
Shahid Afridi,Shahid Afridi
Shoaib Ahmed,Shoaib Ahmed
Shoaib Akhtar,Shoaib Akhtar
Shoaib Malik,Shoaib Malik
Sohail Tanvir,Sohail Tanvir
T Henderson,Tyron Henderson
T Kohli,Taruwar Kohli
T Taibu,Tatenda Taibu
T Thushara,Thilan Thushara
TL Suman,Tirumalasetti Suman
TM Dilshan,Tillakaratne Dilshan
TM Srivastava,Tanmay Srivastava
U Kaul,Uday Kaul
UT Yadav,Umesh Yadav
Umar Gul,Umar Gul
V Kohli,Virat Kohli
V Sehwag,Virendra Sehwag
VRV Singh,VRV Singh
VS Malik,Vikramjeet Malik
VS Yeligati,Vikrant Yeligati
VVS Laxman,VVS Laxman
VY Mahesh,Yo Mahesh
W Jaffer,Wasim Jaffer
WA Mota,Wilkin Mota
WP Saha,Wriddhiman Saha
WPUJC Vaas,Chaminda Vaas
Y Nagar,Yogesh Nagar
Y Venugopal Rao,Venugopal Roy
YA Abdulla,Yusuf Abdulla
YK Pathan,Yusuf Pathan
YV Takawale,Yogesh Takawale
Yashpal Singh,Yashpal Singh
Younis Khan,Younis Khan
Yuvraj Singh,Yuvraj Singh
Z Khan,Zaheer Khan
A Ashish Reddy,Ashish Reddy
A Chandila,Ajit Chandila
AA Chavan,Ankit Chavan
AA Kazi,Abrar Kazi
AC Blizzard,Aiden Blizzard
AC Thomas,Alfonso Thomas
AD Russell,Andre Russell
AL Menaria,Ashok Menaria
AP Majumdar,Anustup Majumdar
AR Patel,Axar Patel
AS Rajpoot,Ankit Rajpoot
AUK Pathan,Asad Ullah Khan Pathan
Anand Rajan,Anand Rajan
Ankit Sharma,Ankit Sharma
Azhar Mahmood,Azhar Mahmood
B Kumar,Bhuvneshwar Kumar
B Laughlin,Ben Laughlin
BA Bhatt,Bhargav Bhatt
BB Samantray,Biplab Samantray
BJ Haddin,Brad Haddin
BJ Rohrer,Ben Rohrer
BMAJ Mendis,Jeevan Mendis
BW Hilfenhaus,Ben Hilfenhaus
CA Ingram,Colin Ingram
CA Lynn,Chris Lynn
CH Morris,Chris Morris
CJ Ferguson,Callum Ferguson
CJ McKay,Clint McCkay
CM Gautam,CM Gautam
DA Miller,David Miller
DAJ Bracewell,Doug Bracewell
DH Yagnik,Dishant Yagnik
DJ Harris,Daniel Harris
DJ Jacobs,Davy Jacobs
DJG Sammy,Daren Sammy
DT Christian,Daniel Trevor Christian
F du Plessis,Faf Du Plessis
GB Hogg,Brad Hogg
GH Vihari,Hanuma Vihari
GJ Maxwell,Glenn Maxwell
Gurkeerat Singh,Gurkeerat Singh
HV Patel,Harshal Patel
Harpreet Singh,Harpreet Singh
I Malhotra,Ishan Malhotra
IC Pandey,Ishwar Pandey
IR Jaggi,Ishank Jaggi
J Syed Mohammad,Jamaluddin Syed Mohammad
JE Taylor,Jerome Taylor
JEC Franklin,James Franklin
JJ Bumrah,Jasprit Bumrah
JJ van der Wath,Johan van der Wath
JO Holder,Jason Holder
JP Faulkner,James Faulkner
K Upadhyay,Krishnakant Upadhyay
KH Devdhar,Kedar Devdhar
KK Cooper,Kevon Cooper
KK Nair,Karun Nair
KL Rahul,KL Rahul
KMDN Kulasekara,Nuwan Kulasekra
KW Richardson,Kane Richardson
LJ Wright,Luke Wright
M Klinger,Michael Klinger
M Vohra,Manan Vohra
M de Lange,Marchant de Lange
MA Agarwal,Mayank Agarwal
MC Juneja,Manpreet Juneja
MDKJ Perera,Kusal Perera
MG Johnson,Mitchell Johnson
MG Neser,Michael Neser
MJ Clarke,Michael Clarke
MM Sharma,Mohit Mahipal Sharma
MN Samuels,Marlon Samuels
MS Wade,Matthew Wade
Mohammed Shami,Mohammed Shami
NJ Rimmington,Nathan Rimmington
NL McCullum,Nathan McCullum
NM Coulter-Nile,Nathan Coulternile
P Awana,Parwinder Awana
P Negi,Pawan Negi
P Parameswaran,Prasanth Parameswaran
P Prasanth,Padmanabhan Prasanth
P Suyal,Pawan Suyal
PA Reddy,Akshath Reddy
PV Tambe,Pravin Tambe
Parvez Rasool,Parvez Rasool
Q de Kock,Quinton de Kock
R Dhawan,Rishi Dhawan
R Ninan,Ryan Ninan
R Rampaul,Ravi Rampaul
R Shukla,Rahul Shukla
RE Levi,Richard Levi
RJ Peterson,Robin Peterson
RN ten Doeschate,Ryan ten Doeschate
RR Bhatkal,Raju Bhatkal
RV Gomez,Raiphi Vincent Gomez
RW Price,Prince Balwant Rai Singh
S Aravind,Sreenath Aravind
S Badree,Samuel Badree
S Kaul,Siddarth Kaul
S Nadeem,Shahbaz Nadeem
S Rana,S Rana
S Randiv,Suraj Randiv
SA Yadav,Suryakumar Ashok Yadav
SMSM Senanayake,Sachithra Senanayake
SP Narine,Sunil Narine
SPD Smith,Steve Smith
SS Mundhe,Shrikant Mundhe
SV Samson,Sanju Samson
Sachin Baby,Sachin Baby
Sandeep Sharma,Sandeep Sharma
Shakib Al Hasan,Shakib Al Hasan
Sunny Gupta,Sunny Gupta
Sunny Singh,Sunny Singh
T Mishra,Tanmay Mishra
TD Paine,Tim Paine
TG Southee,Tim Southee
TP Sudhindra,TP Sudhindra
TR Birt,Travis Birt
UA Birla,Udit Alok Birla
UBT Chand,Unmukt Chand
V Pratap Singh,Veer Pratap Singh
VR Aaron,Varun Aaron
WD Parnell,Wayne Parnell
X Thalaivan Sargunam,Thalaivan Sargunam
Y Gnaneswara Rao,Gnaneswara Rao
YS Chahal,Yuzvendra Chahal
A Choudhary,Aniket Choudhary
A Zampa,Adam Zampa
AD Nath,Akshdeep Nath
AF Milne,Adam Milne
AJ Tye,Andrew Tye
AR Bawne,Ankit Bawne
AV Wankhade,Apoorv Wankhade
Ankit Soni,Ankit Soni
Avesh Khan,Avesh Khan
B Aparajith,Baba Aparajith
B Stanlake,Billy Stanlake
BA Stokes,Ben Stokes
BB Sran,Barinder Sran
BCJ Cutting,Ben Cutting
BE Hendricks,Beuran Hendricks
BR Dunk,Ben Dunk
Basil Thampi,Basil Thampi
C Munro,Colin Munro
C de Grandhomme,Colin de Grandhomme
CJ Anderson,Corey Anderson
CJ Jordan,Chris Jordan
CR Brathwaite,Carlos Brathwaite
CR Woakes,Chris Woakes
D Wiese,David Wiese
DJ Hooda,Deepak Hooda
DJ Muthuswami,Domnic Muthuswami
DL Chahar,Deepak Chahar
DM Bravo,Darren Bravo
ER Dwivedi,Eklavya Dwivedi
F Behardien,Farhaan Behardien
GS Sandhu,Gurinder Sandhu
HH Pandya,Hardik Pandya
HM Amla,Hashim Amla
Imran Tahir,Imran Tahir
Ishan Kishan,Ishan Kishan
J Suchith,Jagadeesha Suchith
J Yadav,Jayant Yadav
JC Buttler,Jos Buttler
JDS Neesham,Jimmy Neesham
JJ Roy,Jason Roy
JW Hastings,John Hastings
K Rabada,Kagiso Rabada
K Santokie,Krishmar Santokie
KC Cariappa,KC Cariappa
KH Pandya,Krunal Pandya
KJ Abbott,Kyle Abbott
KS Williamson,Kane Williamson
Karanveer Singh,Karanveer Singh
Kuldeep Yadav,Kuldeep Yadav
LH Ferguson,Lockie Ferguson
LMP Simmons,Llendl Simmons
M Ashwin,Murugan Ashwin
MA Starc,Mitchell Starc
MJ Guptill,Martin Guptill
MJ Henry,Matt Henry
MJ McClenaghan,Mitchell McClenaghan
MP Stoinis,Marcus Stoinis
Mohammad Nabi,Mohammad Nabi
Mohammed Siraj,Mohammed Siraj
Mustafizur Rahman,Mustafizur Rahman
N Rana,Nitish Rana
NB Singh,Nathu Singh
NJ Maddinson,Nic Maddinson
NS Naik,Nikhil Naik
P Sahu,Pardeep Sahu
PJ Cummins,Pat Cummins
PSP Handscomb,Peter Handscomb
R Powell,Rovman Powell
R Tewatia,Rahul Tewatia
RA Tripathi,Rahul Tripathi
RD Chahar,Rahul Chahar
RG More,Ronit More
RR Pant,Rishabh Pant
RR Rossouw,Riley Rossouw
Rashid Khan,Rashid Khan
S Gopal,Shreyas Gopal
S Kaushik,Shivil Kaushik
SA Abbott,Sean Abbott
SM Boland,Scott Boland
SN Khan,Sarfaraz Khan
SN Thakur,Shardul Thakur
SP Jackson,Sheldon Jackson
SS Agarwal,Sam Agarwal
SS Iyer,Shreyas Iyer
SW Billings,Sam Billings
Shivam Sharma,Shivam Sharma
Swapnil Singh,Swapnil Singh
T Natarajan,T Natarajan
T Shamsi,Tabraiz Shamsi
TA Boult,Trent Boult
TM Head,Travis Head
TS Mills,Tymal Mills
Tejas Baroka,Tejas Baroka
UT Khawaja,Usman Khawaja
V Shankar,Vijay Shankar
VH Zol,Vijay Zol
Vishnu Vinod,Vishnu Vinod
Washington Sundar,Washington Sundar
A Dananjaya,Akila Dananjaya
A Nortje,Anrich Nortje
AD Hales,Alex Hales
AJ Turner,Ashton Turner
AK Markram,Aiden Markram
AS Joseph,Alzarri Joseph
AS Roy,Anukul Roy
AT Carey,Alex Carey
AU Rashid,Adil Rashid
Abdul Samad,Abdul Samad
Abhishek Sharma,Abhishek Sharma
Akash Singh,Akash Singh
Anmolpreet Singh,Anmolpreet Singh
Anuj Rawat,Anuj Rawat
Arshdeep Singh,Arshdeep Singh
C Sakariya,Chetan Sakariya
CJ Dala,Junior Dala
CJ Green,Chris Green
CV Varun,Varun Chakaravarthy
D Padikkal,Devdutt Padikkal
DJ Malan,Dawid Malan
DJ Willey,David Willey
DJM Short,D'Arcy Short
DR Sams,Daniel Sams
DR Shorey,Dhruv Shorey
E Lewis,Evin Lewis
FA Allen,Fabian Allen
GC Viljoen,Hardus Viljoen
GD Phillips,Glenn Phillips
GHS Garton,George Garton
H Klaasen,Heinrich Klassen
HF Gurney,Harry Gurney
Harpreet Brar,Harpreet Brar
I Udana,Isuru Udana
IC Porel,Ishan Porel
IS Sodhi,Ish Sodhi
JA Richardson,Jhye Richardson
JC Archer,Jofra Archer
JL Denly,Joe Denly
JL Pattinson,James Pattinson
JM Bairstow,Jonny Bairstow
JP Behrendorff,Jason Behrendorff
JPR Scantlebury-Searles,Javon Searles
JR Hazlewood,Josh Hazlewood
JR Philippe,Josh Philippe
Jalaj S Saxena,Jajaj Saxena
K Gowtham,Krishnappa Gowtham
K Khejroliya,Kulwant Khejroliya
K Yadav,Kuldeep Yadav
KA Jamieson,Kyle Jamieson
KK Ahmed,Khaleel Ahmed
KL Nagarkoti,Kamlesh Nagarkoti
KM Asif,KM Asif
KMA Paul,Keemo Paul
KS Bharat,KS Bharat
Kartik Tyagi,Kartik Tyagi
L Ngidi,Lungi Ngidi
LE Plunkett,Liam Plunkett
LI Meriwala,Lukman Meriwala
LS Livingstone,Liam Livingstone
Lalit Yadav,Lalit Yadav
M Jansen,Marco Jansen
M Markande,Mayank Markande
M Prasidh Krishna,Prasidh Krishna
M Shahrukh Khan,Shahrukh Khan
MA Wood,Mark Wood
MJ Santner,Mitchell Santner
MK Lomror,Mahipal Lomror
MM Ali,Moeen Ali
Milind Kumar,Milind Kumar
Monu Kumar,Monu Kumar
Mujeeb Ur Rahman,Mujeeb Ur Rahman
N Jagadeesan,N Jagadeesan
N Pooran,Nicholas Pooran
NT Ellis,Nathan Ellis
Navdeep Saini,Navdeep Saini
O Thomas,Oshane Thomas
P Chopra,Prashant Chopra
P Dubey,Pravin Dubey
P Ray Barman,Prayas Ray Barman
P Simran Singh,Prabhsimran Singh
PK Garg,Priyam Garg
PP Shaw,Prithvi Shaw
PWH de Silva,P De Silva
R Parag,Riyan Parag
RD Gaikwad,Ruturaj Gaikwad
RK Bhui,Ricky Bhui
RK Singh,Rinku Singh
RM Patidar,Rajat Patidar
RP Meredith,Riley Meredith
RV Patel,Ripal Patel
Rasikh Salam,Rasikh Salam
Ravi Bishnoi,Ravi Bishnoi
S Dube,Shivam Dube
S Lamichhane,Sandeep Lamichhane
S Midhun,Sudhesan Midhun
S Sandeep Warrier,Sandeep Warrier
SC Kuggeleijn,Scott Kuggeleijn
SD Lad,Siddhesh Lad
SE Rutherford,Sherfane Rutherford
SM Curran,Sam Curran
SO Hetmyer,Shimron Hetmyer
SS Cottrell,Sheldon Cottrell
Shahbaz Ahmed,Shahbaz Ahmed
Shivam Mavi,Shivam Mabi
Shubman Gill,Shubman Gill
T Banton,Tom Banton
TH David,Tim David
TK Curran,Tom Curran
TL Seifert,Tim Seifert
TU Deshpande,Tushar Deshpande
Umran Malik,Umran Malik
VR Iyer,Venkatesh Iyer
Virat Singh,Virat Singh
Y Prithvi Raj,Prithvi Raj
YBK Jaiswal,Yashasvi Jaiswal
N Saini,Nitin Saini
A Badoni,Ayush Badoni
A Kamboj,Anshul Kamboj
A Manohar,Abhinav Manohar
A Raghuvanshi,Angkrish Raghuvanshi
A Tomar,Abhijeet Tomar
AA Kulkarni,Arshin Kulkarni
AJ Hosein,Akeal Hosein
Abdul Basith,Abdul Basith
Abishek Porel,Abishek Porel
Akash Deep,Akash Deep
Akash Madhwal,Akash Madhwal
Aman Hakim Khan,Aman Hakim Khan
Arjun Tendulkar,Arjun Tendulkar
Arshad Khan,Arshad Khan
Ashutosh Sharma,Ashutosh Sharma
Atharva Taide,Atharva Taide
Azmatullah Omarzai,Azmatullah Omarzai
B Indrajith,Baba Indrajith
B Sai Sudharsan,B Sai Sudharsan
BR Sharath,BR Sharath
C Green,Cameron Green
D Brevis,Dewald Brevis
D Ferreira,Donovan Ferreira
D Jansen,Duan Jansen
D Pretorius,Dwaine Pretorius
DG Nalkande,Darshan Nalkande
DJ Mitchell,Daryl Mitchell
DP Conway,Devon Conway
Dhruv Jurel,Dhruv Jurel
Fazalhaq Farooqi,Fazalhaq Farooqi
G Coetzee,Gerald Coetzee
Gulbadin Naib,Gulbadin Naib
Gurnoor Brar,Gurnoor Brar
H Sharma,Himanshu Sharma
HC Brook,Harry Brook
HE van der Dussen,Rassie van der Dussen
HR Shokeen,Hritk Shokeen
Harshit Rana,Harshit Rana
J Fraser-McGurk,Jack Fraser-McGurk
J Little,Joshua Little
JE Root,Joe Root
JM Sharma,Jitesh Sharma
K Kartikeya,Kumar Kartikeya
KA Maharaj,Keshav Maharaj
KR Mayers,Kyle Mayers
KR Sen,Kuldeep Sen
KS Sharma,Karan Sharma
KT Maphaka,Kwena Maphaka
Kumar Kushagra,Kumar Kushagra
L Wood,Luke Wood
LB Williams,Lizaad Williams
Liton Das,Liton Das
M Pathirana,Matheesha Pathirana
M Siddharth,Manimaran Siddharth
M Theekshana,Mahesh Theekshana
MD Shanaka,Dasun Shanaka
MG Bracewell,Michael Bracewell
MJ Suthar,Manav Suthar
MP Yadav,Mayank Yadav
MW Short,Matt Short
Mayank Dagar,Mayank Dagar
Mohit Rathee,Mohit Rathee
Mohsin Khan,Mohsin Khan
Mukesh Choudhary,Mukesh Choudhary
Mukesh Kumar,Mukesh Kumar
N Burger,Nandre Burger
N Thushara,Nuwan Thushara
N Wadhera,Nehal Wadhera
NA Saini,Navdeep Saini
Naman Dhir,Naman Dhir
Naveen-ul-Haq,Naveen-ul-Haq
Nithish Kumar Reddy,Nithish Kumar Reddy
Noor Ahmad,Noor Ahmad
OC McCoy,Obed McCoy
OF Smith,Odean Smith
PBB Rajapaksa,Bhanuka Rajapaksa
PD Salt,Phil Salt
PH Solanki,Prashant Solanki
PN Mankad,Prerak Mankad
PVD Chameera,Dushmantha Chameera
R Goyal,Raghav Goyal
R Ravindra,Rachin Ravindra
R Sai Kishore,R Sai Kishore
R Sanjay Yadav,Sanjay Yadav
R Shepherd,Romario Shepherd
RA Bawa,Raj Angad Bawa
RJ Gleeson,Richard Gleeson
RJW Topley,Reece Topley
RS Hangargekar,Rajvardhan Hangargekar
Rahmanullah Gurbaz,Rahmanullah Gurbaz
Ramandeep Singh,Ramandeep Singh
S Joseph,Shamar Joseph
SB Dubey,Shubham Dubey
SD Hope,Shai Hope
SH Johnson,Spencer Johnson
SK Rasheed,Sheikh Rasheed
SS Prabhudessai,Suyash Prabhudessai
SSB Magala,Sisanda Magala
SZ Mulani,Shams Mulani
Sameer Rizvi,Sameer Rizvi
Sanvir Singh,Sanvir Singh
Saurav Chauhan,Saurav Chauhan
Shashank Singh,Shashank Singh
Shivam Singh,Shivam Singh
Sikandar Raza,Sikandar Raza
Simarjeet Singh,Simarjeet Singh
Sonu Yadav,Sonu Yadav
Subhransu Senapati,Subhransu Senapati
Sumit Kumar,Sumit Kumar
Suyash Sharma,Suyash Sharma
T Kohler-Cadmore,Tom Kohler-Cadmore
T Stubbs,Tristan Stubbs
Tanay Thyagarajan,Tanay Thyagarajan
Tanush Kotian,Tanush Kotian
Tilak Varma,Tilak Varma
V Kaverappa,Vidhwath Kaverappa
V Viyaskanth,Vijayakanth Viyaskanth
VG Arora,Vaibhav Arora
Vijaykumar Vyshak,Vijaykumar Vyshak
Vivrant Sharma,Vivrant Sharma
WG Jacks,Will Jacks
YV Dhull,Yash Dhull
Yash Dayal,Yash Dayal
Yash Thakur,Yash Thakur
Yudhvir Singh,Yudhvir Singh
