,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2019,Visibility Score 2018,Visibility Score 2021,Visibility Score 2020,Average Sentiment Score 2019,Average Sentiment Score 2018,Average Sentiment Score 2021,Average Sentiment Score 2020,Positive Mentions 2019,Positive Mentions 2018,Positive Mentions 2021,Positive Mentions 2020,Negative Mentions 2019,Negative Mentions 2018,Negative Mentions 2021,Negative Mentions 2020,Entertainment Score 2018,Entertainment Score 2019,Entertainment Score 2020,Entertainment Score 2021
27,AT Rayudu,Chennai Super Kings,1,59,1500.0,1181.0,119.0,70.0,44.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,7,1,0,0,0,34.09,127.01,,,Ambati Rayudu,23,9,1985,37,Veteran,0.0032240730789897,0.0015069318866787,0.0048990498812351,0.0041328202935727,0.1081253149407911,0.161984126984127,0.061293664169864,0.1120724486241727,8.0,3.0,10.0,11.0,3.0,2.0,6.0,2.0,0.0,0.0,18.0,0.0
28,AU Rashid,Punjab Kings,0,1,0.0,0.0,0.0,0.0,0.0,18.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,11.67,Adil Rashid,17,2,1988,34,Experienced,0.0,0.0,0.0008907363420427,0.0,0.0,0.0,0.05,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
29,Abdul Samad,Sunrisers Hyderabad,1,20,224.0,157.0,12.0,14.0,15.0,49.0,105.0,2.0,5.0,0.0,13.0,0.0,0.0,0,0,0,0,1,14.93,142.68,52.5,12.86,Abdul Samad,28,10,2001,21,Emerging,0.0,0.0,0.002375296912114,0.002992731936725,0.0,0.0,0.1170138047716172,0.1821116780045351,0.0,0.0,8.0,14.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
30,Abhishek Sharma,Delhi Daredevils,1,3,63.0,35.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,63.0,180.0,,,Abhishek Sharma,9,4,2000,22,Emerging,0.0060899158158696,0.0060277275467148,0.0065320665083135,0.0047028644719965,0.0634978991596638,0.244047619047619,0.1404778302505575,0.1298475829725829,16.0,17.0,29.0,17.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0
31,Abhishek Sharma,Sunrisers Hyderabad,1,19,178.0,147.0,14.0,7.0,13.0,137.0,179.0,7.0,9.0,0.0,4.0,0.0,0.0,0,0,0,0,0,13.69,121.09,25.57,7.84,Abhishek Sharma,9,4,2000,22,Emerging,0.0060899158158696,0.0060277275467148,0.0065320665083135,0.0047028644719965,0.0634978991596638,0.244047619047619,0.1404778302505575,0.1298475829725829,16.0,17.0,29.0,17.0,6.0,3.0,5.0,2.0,0.0,0.0,0.0,0.0
32,Akash Singh,Rajasthan Royals,1,1,0.0,0.0,0.0,0.0,0.0,24.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,9.75,Akash Singh,26,4,2002,20,Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Ankit Sharma,Rajasthan Royals,1,1,0.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,,,11.0,Ankit Sharma,20,4,1991,31,Experienced,0.0,0.0003013863773357,0.0,0.0,0.0,0.307936507936508,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Anmolpreet Singh,Mumbai Indians,1,2,16.0,14.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,16.0,114.29,,,Anmolpreet Singh,28,3,1998,24,Emerging,0.0010746910263299,0.0,0.0,0.0002850220892119,0.1403654795251433,0.0,0.0,0.05,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Anuj Rawat,Rajasthan Royals,1,3,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0,0,0.0,0.0,,,Anuj Rawat,17,10,1999,23,Emerging,0.0,0.0,0.0053444180522565,0.0,0.0,0.0,0.0918518518518518,0.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
36,Anureet Singh,Rajasthan Royals,1,3,3.0,4.0,0.0,0.0,0.0,24.0,42.0,2.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,,75.0,21.0,10.5,Anureet Singh,3,2,1988,34,Experienced,0.0,0.0006027727546714,0.0,0.0,0.0,0.307936507936508,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
