,player_name,team,IsIndian,innings,runs_scored,balls_faced,fours,sixes,is_dismissed,balls_bowled,runs_given,wickets_taken,extra_runs_given,maiden_overs_bowled,catches_taken,stumpings,run_outs,fifty,century,Three_wicket_haul,Five_wicket_haul,retention,Batting_Average,Batting_Strike_Rate,Bowling_Average,Bowling_Economy,full_name,Day,Month,Year,age_at_auction,age_category,Visibility Score 2013,Visibility Score 2012,Visibility Score 2011,Average Sentiment Score 2013,Average Sentiment Score 2012,Average Sentiment Score 2011,Positive Mentions 2013,Positive Mentions 2012,Positive Mentions 2011,Negative Mentions 2013,Negative Mentions 2012,Negative Mentions 2011,Entertainment Score 2011,Entertainment Score 2012,Entertainment Score 2013
65,BJ Hodge,Rajasthan Royals,0,27,538.0,404.0,45.0,18.0,16.0,18.0,25.0,1.0,1.0,0.0,13.0,0.0,1.0,1,0,0,0,0,33.62,133.17,25.0,8.33,Brad Hodge,29,12,1974,40,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,BJ Rohrer,Delhi Daredevils,0,8,193.0,146.0,21.0,5.0,7.0,7.0,12.0,0.0,1.0,0.0,3.0,0.0,2.0,1,0,0,0,0,27.57,132.19,,10.29,Ben Rohrer,26,3,1981,33,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,BMAJ Mendis,Delhi Daredevils,0,3,23.0,27.0,0.0,0.0,3.0,30.0,36.0,1.0,0.0,0.0,2.0,0.0,1.0,0,0,0,0,0,7.67,85.19,36.0,7.2,Jeevan Mendis,15,1,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,BW Hilfenhaus,Chennai Super Kings,0,9,0.0,0.0,0.0,0.0,0.0,215.0,242.0,14.0,20.0,1.0,0.0,0.0,0.0,0,0,1,0,0,,,17.29,6.75,Ben Hilfenhaus,15,3,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Bipul Sharma,Kings XI Punjab,1,10,95.0,65.0,7.0,3.0,3.0,150.0,183.0,6.0,18.0,0.0,2.0,0.0,0.0,0,0,0,0,0,31.67,146.15,30.5,7.32,Bipul Sharma,28,9,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,CA Ingram,Delhi Daredevils,0,3,21.0,26.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,10.5,80.77,,,Colin Ingram,7,3,1985,29,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,CA Lynn,Deccan Chargers,0,1,6.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,6.0,60.0,,,Chris Lynn,4,10,1990,24,Emerging,0.0041928721174004,0.0,0.0,-0.2166666666666666,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
72,CA Pujara,Royal Challengers Bengaluru,1,11,143.0,155.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1,0,0,0,0,14.3,92.26,,,Cheteshwar Pujara,25,1,1988,26,Peak,0.0020964360587002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,CH Gayle,Royal Challengers Bengaluru,0,42,2061.0,1298.0,160.0,155.0,33.0,280.0,370.0,12.0,36.0,0.0,8.0,0.0,0.0,14,4,1,0,1,62.45,158.78,30.83,7.93,Christopher Henry Gayle,21,9,1979,35,Experienced,0.0146750524109014,0.0,0.0654545454545454,0.0397959183673469,0.0,0.1820785695785695,3.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0,0.0
74,CH Morris,Chennai Super Kings,0,16,14.0,17.0,0.0,0.0,2.0,309.0,410.0,17.0,19.0,0.0,5.0,0.0,0.0,0,0,1,0,0,7.0,82.35,24.12,7.96,Chris Morris,30,4,1987,27,Peak,0.010482180293501,0.0,0.0,0.5599999999999999,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,CJ Ferguson,Pune Warriors,0,8,98.0,119.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0,0,0,0,16.33,82.35,,,Callum Ferguson,21,11,1984,30,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,CJ McKay,Mumbai Indians,0,2,8.0,15.0,0.0,0.0,1.0,42.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.0,53.33,60.0,8.57,Clint McCkay,22,2,1983,31,Experienced,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,CK Langeveldt,Royal Challengers Bengaluru,0,3,8.0,8.0,0.0,1.0,1.0,70.0,92.0,5.0,12.0,0.0,0.0,0.0,0.0,0,0,0,0,0,8.0,100.0,18.4,7.89,Charl Langeveldt,17,12,1974,40,Veteran,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,CL White,Deccan Chargers,0,19,583.0,436.0,47.0,22.0,16.0,20.0,27.0,0.0,2.0,0.0,5.0,0.0,1.0,5,0,0,0,0,36.44,133.72,,8.1,Cameron White,18,8,1983,31,Experienced,0.0,0.0,0.0072727272727272,0.0,0.0,0.0285714285714285,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
79,CL White,Sunrisers Hyderabad,0,13,226.0,200.0,18.0,9.0,12.0,12.0,16.0,1.0,0.0,0.0,10.0,0.0,1.0,1,0,0,0,0,18.83,113.0,16.0,8.0,Cameron White,18,8,1983,31,Experienced,0.0,0.0,0.0072727272727272,0.0,0.0,0.0285714285714285,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
80,CM Gautam,Delhi Daredevils,1,3,44.0,37.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22.0,118.92,,,CM Gautam,3,8,1986,28,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,DA Miller,Kings XI Punjab,0,19,516.0,333.0,34.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,3,1,0,0,1,51.6,154.95,,,David Miller,6,10,1989,25,Emerging,0.0062893081761006,0.0,0.0,-0.05,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
82,DA Warner,Delhi Daredevils,0,37,990.0,775.0,103.0,39.0,34.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,3.0,8,1,0,0,0,29.12,127.74,,,David Warner,27,10,1986,28,Peak,0.0041928721174004,0.0457746478873239,0.0109090909090909,-0.1,0.1876923076923077,0.2763888888888889,0.0,6.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0
83,DAJ Bracewell,Delhi Daredevils,0,1,12.0,9.0,1.0,0.0,0.0,25.0,32.0,3.0,1.0,0.0,1.0,0.0,1.0,0,0,1,0,0,,133.33,10.67,7.68,Doug Bracewell,28,9,1990,24,Emerging,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,DB Das,Kolkata Knight Riders,1,18,201.0,172.0,14.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0,0,0,0,0,33.5,116.86,,,Debabrata Das,22,9,1986,28,Peak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,DB Ravi Teja,Deccan Chargers,1,13,187.0,151.0,18.0,4.0,9.0,6.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,1,0,0,0,0,20.78,123.84,,9.0,Ravi Teja,19,10,1994,20,Young,0.0146750524109014,0.0035211267605633,0.0036363636363636,0.309920634920635,0.0,0.415,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
86,DB Ravi Teja,Sunrisers Hyderabad,1,2,14.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,14.0,77.78,,,Ravi Teja,19,10,1994,20,Young,0.0146750524109014,0.0035211267605633,0.0036363636363636,0.309920634920635,0.0,0.415,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
87,DE Bollinger,Chennai Super Kings,0,19,3.0,6.0,0.0,0.0,1.0,407.0,503.0,30.0,39.0,2.0,4.0,0.0,0.0,0,0,5,0,0,3.0,50.0,16.77,7.42,Doug Bollinger,24,7,1981,33,Experienced,0.0,0.0,0.0036363636363636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
